id,name,voltage_kv,action_type,capacity_mva,target_cod_year,status,province,region_key,source_page,source_table
RUPTL-KALIMANTAN-GI-0044,Sebabi,150/20,New,60.0,2027,Planned,Kalimantan Tengah,kalimantan,768,Tabel A13.15
RUPTL-KALIMANTAN-GI-0045,Kasongan (Arah PLTU Kalselteng 3),150,Extension,2.0,2029,Planned,Kalimantan Tengah,kalimantan,768,Tabel A13.15
RUPTL-KALIMANTAN-GI-0046,Sudan (Inc 1 phi Parenggean - Sampit),150,Extension,2.0,2029,Planned,Kalimantan Tengah,kalimantan,768,Tabel A13.15
RUPTL-KALIMANTAN-GI-0047,Palangkaraya,150/20,Extension,60.0,2029,Planned,Kalimantan Tengah,kalimantan,768,Tabel A13.15
RUPTL-KALIMANTAN-GI-0048,Buntok (arah Tamiang),150,Extension,2.0,2030,Planned,Kalimantan Tengah,kalimantan,768,Tabel A13.15
RUPTL-KALIMANTAN-GI-0049,Tamiang Layang,150/20,New,30.0,2030,Planned,Kalimantan Tengah,kalimantan,768,Tabel A13.15
RUPTL-KALIMANTAN-GI-0050,Timpah,150/20,New,30.0,2030,Planned,Kalimantan Tengah,kalimantan,768,Tabel A13.15
RUPTL-KALIMANTAN-GI-0051,Palangkaraya (Arah Buntok),150,Extension,2.0,2030,Planned,Kalimantan Tengah,kalimantan,768,Tabel A13.15
RUPTL-KALIMANTAN-GI-0052,Buntok (arah Palangkaraya),150,Extension,2.0,2030,Planned,Kalimantan Tengah,kalimantan,768,Tabel A13.15
RUPTL-KALIMANTAN-GI-0053,Pangkalan Bun,150/20,Extension,60.0,2031,Planned,Kalimantan Tengah,kalimantan,768,Tabel A13.15
RUPTL-KALIMANTAN-GI-0054,New Palangkaraya,150/20,Extension,60.0,2031,Planned,Kalimantan Tengah,kalimantan,768,Tabel A13.15
RUPTL-KALIMANTAN-GI-0055,Muara Teweh,150/20,Extension,60.0,2031,Planned,Kalimantan Tengah,kalimantan,768,Tabel A13.15
RUPTL-KALIMANTAN-GI-0056,Selat,150/20,Uprate,60.0,2032,Planned,Kalimantan Tengah,kalimantan,769,Tabel A13.18
RUPTL-KALIMANTAN-GI-0057,GI Kasongan (Arah Kotabaru 2),150,Extension,2.0,2033,Planned,Kalimantan Tengah,kalimantan,769,Tabel A13.18
RUPTL-KALIMANTAN-GI-0058,Bagendang,150/20,Extension,60.0,2033,Planned,Kalimantan Tengah,kalimantan,769,Tabel A13.18
RUPTL-KALIMANTAN-GI-0059,Puruk Cahu,150/20,Extension,30.0,2034,Planned,Kalimantan Tengah,kalimantan,769,Tabel A13.18
RUPTL-KALIMANTAN-GI-0060,Buntok,150/20,Extension,30.0,2034,Planned,Kalimantan Tengah,kalimantan,769,Tabel A13.18
RUPTL-KALIMANTAN-GI-0061,Mintin (PLTU Pulang Pisau),150/20,Extension,30.0,2034,Planned,Kalimantan Tengah,kalimantan,769,Tabel A13.18
RUPTL-KALIMANTAN-GI-0062,Pulang Pisau,150/20,Uprate,30.0,2034,Planned,Kalimantan Tengah,kalimantan,769,Tabel A13.18
RUPTL-KALIMANTAN-GI-0063,Pangkalan Bun (Arah PLTG/GU Kalteng) Jumlah,150,Extension,602.0,2027,Planned,Kalimantan Tengah,kalimantan,769,Tabel A13.18
RUPTL-KALIMANTAN-GI-0064,GI 150 kV Sisipan Sanga-sanga - Bukuan,150,New,6.0,2027,Planned,Kalimantan Timur,kalimantan,779,Tabel A14.12
RUPTL-KALIMANTAN-GI-0065,GI PLTGU Kaltim-1,150,Extension,2.0,2027,Planned,Kalimantan Timur,kalimantan,779,Tabel A14.12
RUPTL-KALIMANTAN-GI-0066,GITET KFI,500,New,1000.0,2031,Planned,Kalimantan Timur,kalimantan,779,Tabel A14.12
RUPTL-KALIMANTAN-GI-0067,GITET Embalut,500,Extension,2.0,2031,Planned,Kalimantan Timur,kalimantan,779,Tabel A14.12
RUPTL-KALIMANTAN-GI-0068,GITET Balikpapan,500,Extension,2.0,2031,Planned,Kalimantan Timur,kalimantan,779,Tabel A14.12
RUPTL-KALIMANTAN-GI-0069,GI Senipah,150/20,Extension,30.0,2025,Committed,Kalimantan Timur,kalimantan,789,Tabel A14.21
RUPTL-KALIMANTAN-GI-0070,Tempadung,150/20,New,30.0,2025,Construction,Kalimantan Timur,kalimantan,789,Tabel A14.21
RUPTL-KALIMANTAN-GI-0071,Tanjung Redeb (arah Talisayan),150,Extension,2.0,2025,Construction,Kalimantan Timur,kalimantan,789,Tabel A14.21
RUPTL-KALIMANTAN-GI-0072,Talisayan,150/20,New,30.0,2025,Construction,Kalimantan Timur,kalimantan,789,Tabel A14.21
RUPTL-KALIMANTAN-GI-0073,Bontang Lestari (Ex. Bontang Koala),150/20,New,60.0,2025,Planned,Kalimantan Timur,kalimantan,789,Tabel A14.21
RUPTL-KALIMANTAN-GI-0074,Maloy (Arah Talisayan),150,Extension,2.0,2025,Construction,Kalimantan Timur,kalimantan,789,Tabel A14.21
RUPTL-KALIMANTAN-GI-0075,Grogot (Arah Sei Durian),150,Extension,2.0,2026,Planned,Kalimantan Timur,kalimantan,789,Tabel A14.21
RUPTL-KALIMANTAN-GI-0076,Muara Wahau (Arah Sangatta),150,Extension,2.0,2026,Committed,Kalimantan Timur,kalimantan,789,Tabel A14.21
RUPTL-KALIMANTAN-GI-0077,Samboja,150/20,New,30.0,2026,Committed,Kalimantan Timur,kalimantan,789,Tabel A14.21
RUPTL-KALIMANTAN-GI-0078,Sangatta (arah Muara Wahau),150,Extension,2.0,2026,Committed,Kalimantan Timur,kalimantan,789,Tabel A14.21
RUPTL-KALIMANTAN-GI-0079,Maloy,150/20,Extension,30.0,2026,Planned,Kalimantan Timur,kalimantan,789,Tabel A14.21
RUPTL-KALIMANTAN-GI-0080,Sambutan (Arah GI PLTG/GU Kaltim-1 ),150,Extension,2.0,2026,Planned,Kalimantan Timur,kalimantan,789,Tabel A14.21
RUPTL-KALIMANTAN-GI-0081,GI PLTGU Kaltim-1,150,New,4.0,2026,Planned,Kalimantan Timur,kalimantan,789,Tabel A14.21
RUPTL-KALIMANTAN-GI-0082,Kuaro (Arah GIS 4/Sepaku),150,Extension,2.0,2027,Committed,Kalimantan Timur,kalimantan,789,Tabel A14.21
RUPTL-KALIMANTAN-GI-0083,Tenggarong/Bukit Biru (arah GI 1),150,Extension,2.0,2027,Committed,Kalimantan Timur,kalimantan,789,Tabel A14.21
RUPTL-KALIMANTAN-GI-0084,GI 1 K-IKN,150/20,New,120.0,2027,Committed,Kalimantan Timur,kalimantan,789,Tabel A14.21
RUPTL-KALIMANTAN-GI-0085,Sanga-Sanga (Muara Jawa),150/20,Extension,60.0,2027,Planned,Kalimantan Timur,kalimantan,789,Tabel A14.21
RUPTL-KALIMANTAN-GI-0086,GI 150 kV Sisipan Sanga-Sanga- Bukuan,150,New,6.0,2027,Planned,Kalimantan Timur,kalimantan,789,Tabel A14.21
RUPTL-KALIMANTAN-GI-0087,GI PLTGU Kaltim 1 (Arah GI Sisipan Sanga-Sanga - Bukuan),150,Extension,2.0,2027,Planned,Kalimantan Timur,kalimantan,789,Tabel A14.21
RUPTL-KALIMANTAN-GI-0088,Tanjung Redeb (Arah PLTG/GU Kaltara/Kaltimra),150,New,2.0,2027,Planned,Kalimantan Timur,kalimantan,789,Tabel A14.21
RUPTL-KALIMANTAN-GI-0089,Melak (arah Bangkanai),150,Extension,2.0,2028,Planned,Kalimantan Timur,kalimantan,789,Tabel A14.21
RUPTL-KALIMANTAN-GI-0090,Sepaso,150/20,New,30.0,2028,Planned,Kalimantan Timur,kalimantan,789,Tabel A14.21
RUPTL-KALIMANTAN-GI-0091,New Samarinda,150/20,Extension,60.0,2028,Planned,Kalimantan Timur,kalimantan,789,Tabel A14.21
RUPTL-KALIMANTAN-GI-0092,GI BWP 9,150/20,New,120.0,2028,Planned,Kalimantan Timur,kalimantan,789,Tabel A14.21
RUPTL-KALIMANTAN-GI-0093,GI 2 K-IKN,150/20,New,120.0,2028,Planned,Kalimantan Timur,kalimantan,789,Tabel A14.21
RUPTL-KALIMANTAN-GI-0094,Samboja,150/20,Extension,30.0,2028,Planned,Kalimantan Timur,kalimantan,789,Tabel A14.21
RUPTL-KALIMANTAN-GI-0095,Tenggarong/Bukit Biru,150/20,Uprate,60.0,2029,Planned,Kalimantan Timur,kalimantan,789,Tabel A14.21
RUPTL-KALIMANTAN-GI-0096,Kotabangun,150/20,Extension,30.0,2029,Planned,Kalimantan Timur,kalimantan,789,Tabel A14.21
RUPTL-KALIMANTAN-GI-0097,Sambera,150/20,Extension,60.0,2029,Planned,Kalimantan Timur,kalimantan,789,Tabel A14.21
RUPTL-KALIMANTAN-GI-0098,New Balikpapan,150/20,Extension,60.0,2029,Planned,Kalimantan Timur,kalimantan,789,Tabel A14.21
RUPTL-KALIMANTAN-GI-0099,Sangatta,150/20,Uprate,60.0,2029,Planned,Kalimantan Timur,kalimantan,790,
RUPTL-KALIMANTAN-GI-0100,Tengkawang,150/20,Uprate,60.0,2029,Planned,Kalimantan Timur,kalimantan,790,
RUPTL-KALIMANTAN-GI-0101,Balikpapan (Eks. GIS),150/20,New,60.0,2030,Planned,Kalimantan Timur,kalimantan,790,
RUPTL-KALIMANTAN-GI-0102,New Samarinda (Arah Samarinda Ex. GIS),150,Extension,2.0,2030,Planned,Kalimantan Timur,kalimantan,790,
RUPTL-KALIMANTAN-GI-0103,Samarinda (Eks.GIS ),150/20,New,60.0,2030,Planned,Kalimantan Timur,kalimantan,790,
RUPTL-KALIMANTAN-GI-0104,New Balikpapan (Arah Balikpapan Ex. GIS),150,Extension,2.0,2030,Planned,Kalimantan Timur,kalimantan,790,
RUPTL-KALIMANTAN-GI-0105,Tanjung Redeb,150/20,Uprate,60.0,2030,Planned,Kalimantan Timur,kalimantan,790,
RUPTL-KALIMANTAN-GI-0106,GIS 3 KIPP,150/20,New,120.0,2030,Planned,Kalimantan Timur,kalimantan,790,
RUPTL-KALIMANTAN-GI-0107,Karang Joang,150/20,Uprate,60.0,2030,Planned,Kalimantan Timur,kalimantan,790,
RUPTL-KALIMANTAN-GI-0108,Samboja,150/20,Uprate,60.0,2031,Planned,Kalimantan Timur,kalimantan,790,
RUPTL-KALIMANTAN-GI-0109,GITET Balikpapan,500,New,500.0,2031,Planned,Kalimantan Timur,kalimantan,790,
RUPTL-KALIMANTAN-GI-0110,GITET Embalut,500,New,1000.0,2031,Planned,Kalimantan Timur,kalimantan,790,
RUPTL-KALIMANTAN-GI-0111,GITET IKN 1,500,New,1000.0,2031,Planned,Kalimantan Timur,kalimantan,790,
RUPTL-KALIMANTAN-GI-0112,Industri (arah Petung),150,Extension,2.0,2031,Planned,Kalimantan Timur,kalimantan,790,
RUPTL-KALIMANTAN-GI-0113,Petung (arah Industri),150,Extension,2.0,2031,Planned,Kalimantan Timur,kalimantan,790,
RUPTL-KALIMANTAN-GI-0114,Kuaro,150/20,Extension,30.0,2031,Planned,Kalimantan Timur,kalimantan,790,
RUPTL-KALIMANTAN-GI-0115,GITET KFI,500,New,1000.0,2031,Planned,Kalimantan Timur,kalimantan,790,
RUPTL-KALIMANTAN-GI-0116,GITET Embalut (Arah GITET KFI),500,Extension,2.0,2031,Planned,Kalimantan Timur,kalimantan,790,
RUPTL-KALIMANTAN-GI-0117,GITET Balikpapan (Arah GITET KFI),500,Extension,2.0,2031,Planned,Kalimantan Timur,kalimantan,790,
RUPTL-KALIMANTAN-GI-0118,Mahakam Ulu/ Ujoh Bilang,150/20,New,30.0,2031,Planned,Kalimantan Timur,kalimantan,790,
RUPTL-KALIMANTAN-GI-0119,Melak (arah Ujoh Bilang),150,Extension,2.0,2031,Planned,Kalimantan Timur,kalimantan,790,
RUPTL-KALIMANTAN-GI-0120,Maloy (Arah PT GAM),150,Extension,2.0,2032,Planned,Kalimantan Timur,kalimantan,790,
RUPTL-KALIMANTAN-GI-0121,Bangkanai (Arah PT MBL),150,Extension,2.0,2032,Planned,Kalimantan Timur,kalimantan,790,
RUPTL-KALIMANTAN-GI-0122,Melak (Arah PT ITM),150,Extension,2.0,2032,Planned,Kalimantan Timur,kalimantan,790,
RUPTL-KALIMANTAN-GI-0123,Bontang (Arah PT Badak),150,Extension,2.0,2032,Planned,Kalimantan Timur,kalimantan,790,
RUPTL-KALIMANTAN-GI-0124,Kotabangun (arah Kembang Janggut),150,Extension,2.0,2032,Planned,Kalimantan Timur,kalimantan,790,
RUPTL-KALIMANTAN-GI-0125,Kembang Janggut,150/20,New,30.0,2032,Planned,Kalimantan Timur,kalimantan,790,
RUPTL-KALIMANTAN-GI-0126,Kembang Janggut (arah Muara Bengkal),150,Extension,2.0,2032,Planned,Kalimantan Timur,kalimantan,790,
RUPTL-KALIMANTAN-GI-0127,Muara Bengkal,150/20,New,30.0,2032,Planned,Kalimantan Timur,kalimantan,790,
RUPTL-KALIMANTAN-GI-0128,Muara Wahau (Arah Muara Bengkal),150,Extension,2.0,2032,Planned,Kalimantan Timur,kalimantan,790,
RUPTL-KALIMANTAN-GI-0129,Kembang Janggut (arah Tabang),150,Extension,2.0,2032,Planned,Kalimantan Timur,kalimantan,791,Tabel A14.22
RUPTL-KALIMANTAN-GI-0130,Tanjung Redeb (arah Muara Wahau),150,Extension,2.0,2032,Planned,Kalimantan Timur,kalimantan,791,Tabel A14.22
RUPTL-KALIMANTAN-GI-0131,Tanjung Batu/ Derawan,150/20,New,30.0,2032,Planned,Kalimantan Timur,kalimantan,791,Tabel A14.22
RUPTL-KALIMANTAN-GI-0132,Tanjung Redeb (arah Tanjung Batu/Derawan),150,Extension,2.0,2032,Planned,Kalimantan Timur,kalimantan,791,Tabel A14.22
RUPTL-KALIMANTAN-GI-0133,GIS 3 KIPP,150/20,Extension,60.0,2033,Planned,Kalimantan Timur,kalimantan,791,Tabel A14.22
RUPTL-KALIMANTAN-GI-0134,Senipah,150/20,Uprate,60.0,2033,Planned,Kalimantan Timur,kalimantan,791,Tabel A14.22
RUPTL-KALIMANTAN-GI-0135,Sekatak,150/20,New,30.0,2026,Committed,Kalimantan Utara,kalimantan,808,Tabel A15.17
RUPTL-KALIMANTAN-GI-0136,Tarakan,150/20,New,120.0,2026,Committed,Kalimantan Utara,kalimantan,808,Tabel A15.17
RUPTL-KALIMANTAN-GI-0137,Malinau (Arah Nunukan),150,Extension,2.0,2028,Planned,Kalimantan Utara,kalimantan,808,Tabel A15.17
RUPTL-KALIMANTAN-GI-0138,Nunukan,150/20,New,60.0,2028,Planned,Kalimantan Utara,kalimantan,808,Tabel A15.17
RUPTL-KALIMANTAN-GI-0139,GITET Kaltara,500,New,4.0,2031,Planned,Kalimantan Utara,kalimantan,808,Tabel A15.17
RUPTL-KALIMANTAN-GI-0140,GITET Tj. Selor,500,New,500.0,2031,Planned,Kalimantan Utara,kalimantan,808,Tabel A15.17
RUPTL-KALIMANTAN-GI-0141,Sebuku,150/20,New,30.0,2032,Planned,Kalimantan Utara,kalimantan,808,Tabel A15.17
RUPTL-KALIMANTAN-GI-0142,Tidang Pale/Tana Tidung (arah Seimenggaris),150,Extension,2.0,2033,Planned,Kalimantan Utara,kalimantan,808,Tabel A15.17
RUPTL-KALIMANTAN-GI-0143,Seimenggaris (Trafo Relokasi),150/20,New,10.0,2033,Planned,Kalimantan Utara,kalimantan,808,Tabel A15.17
RUPTL-KALIMANTAN-GI-0144,Tarakan,150/20,Extension,60.0,2033,Planned,Kalimantan Utara,kalimantan,808,Tabel A15.17
RUPTL-KALIMANTAN-GI-0145,GITET Tj. Selor (Arah Sabah),275,New,2.0,2034,Planned,Kalimantan Utara,kalimantan,808,Tabel A15.17
